name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Deniz Undav,FWD,Brighton,0.5,0,0,0,0,0,123,0,0,0,0,14,0,0,0,0,2022-08-13T14:00:00Z,0,0,0,0,0,2,0,69223,0,0,0,0,0,-6866,3543,10409,55,TRUE,0,Newcastle
Tom Cairney,MID,Fulham,0.5,0,0,4,0,0.3,200,0,0,0,0,20,0,0,0.4,3.2,2022-08-13T14:00:00Z,4,0,0,0,0,2,0,6675,0,0,0,0,1,-805,326,1131,50,FALSE,0,Wolves
Jonny,DEF,Wolves,4,0,0,24,1,5.1,477,0,0,0,0,20,0,0,4.4,17.2,2022-08-13T14:00:00Z,77,0,0,0,0,2,0,56591,0,0,0,22,6,-2975,2717,5692,45,TRUE,0,Fulham
Marcos Senesi,DEF,Bournemouth,0.4,0,0,3,0,0,576,0,0,0,0,17,0,0,0.4,3.8,2022-08-13T14:00:00Z,10,0,0,0,0,2,0,750,0,0,4,0,1,321,347,26,45,FALSE,0,Man City
Youri Tielemans,MID,Leicester,1.5,0,0,7,0,5,259,0,0,0,0,11,3,0,0.6,1,2022-08-13T14:00:00Z,62,0,0,0,0,2,0,193977,0,2,4,0,2,-16159,10158,26317,65,FALSE,0,Arsenal
Jonathan Panzo,DEF,Nott'm Forest,0,0,0,0,0,0,389,0,0,0,0,18,0,0,0,0,2022-08-14T13:00:00Z,0,0,0,0,0,2,0,1754,0,0,1,0,0,-277,0,277,40,TRUE,0,West Ham
Romain Perraud,DEF,Southampton,1,0,0,0,0,0,417,0,0,0,0,19,0,0,0,0,2022-08-13T14:00:00Z,0,0,0,0,0,2,0,4663,0,2,2,0,0,-176,260,436,45,TRUE,0,Leeds
Kristoffer Klaesson,GK,Leeds,-0.5,0,0,0,0,0,236,0,0,0,0,19,0,0,0,0,2022-08-13T14:00:00Z,0,0,0,0,0,2,0,43965,0,2,2,0,0,-1011,1105,2116,40,FALSE,0,Southampton
Harrison Reed,MID,Fulham,1.5,0,0,2,1,25.3,211,0,0,0,0,20,0,0,3.4,6.2,2022-08-13T14:00:00Z,90,0,0,0,0,2,0,68443,0,0,0,2,2,18151,25366,7215,45,FALSE,1,Wolves
Fábio Carvalho,MID,Liverpool,2,0,0,0,0,0.6,296,0,0,0,0,16,0,0,0.4,0,2022-08-15T19:00:00Z,11,0,0,0,0,2,0,23607,0,1,1,5,1,-2293,2215,4508,55,TRUE,0,Crystal Palace
